1,Aceitunas negras,1
2,Aceitunas verdes,1
3,Ajo en polvo,2
4,Ajos,3
103,Alitas,2
5,Arroz,4
6,Arroz 3 delicias,5
7,Atún,1
8,Bacon,6
9,Berenjena,3
10,Bonito,8
11,Boquerones,6
12,Calabacín,3
13,Carne choricera,2
14,Carne picada mixta,2
15,Cebolla,3
16,Cerveza mala,7
17,Chistorra,2
18,Chorizo asturiano,2
19,Chorizo en taquitos,6
20,Chuletas de aguja,2
21,Chuletas de cordero,2
22,Contramuslos de pollo,2
23,Crema de calabaza,3
24,Crema de verduras,3
25,Croquetas,8
26,Cuartos traseros de pollo,2
27,Empanadillas,8
28,Ensalada americana,6
29,Espinacas congeladas hoja,5
30,Fideos,4
31,Fritada,1
32,Garbanzos en bote,4
33,Guisantes lata,1
34,Guisantes congelados,5
35,Hamburguesas,2
36,Harina,1
37,Huevos,6
38,Jamón en taquitos,6
39,Jamón serrano,6
40,Judías verdes congeladas,5
41,Ketchup,1
42,Lacón,6
43,Langostinos,9
44,Lasaña precocinada,6
45,Laurel,2
46,Lechuga,3
47,Lentejas,4
48,Lomo fresco,2
49,Lomo adobado,2
50,Macarrones,4
51,Mahonesa,1
52,Maiz dulce,1
53,Manzana,3
54,MaxiYork,6
55,Merluza,8
56,Mermelada de frambuesa,1
57,Migas,6
58,Mostaza,1
59,Nata cocinar,1
102,Nuggets,8
60,Palitos de cangrejo,8
61,Pan de hamburguesas,10
62,Pan de molde sin corteza,10
63,Pan de perritos,10
64,Pan normal en barra,10
65,Pan rallado,11
66,Pastillas de caldo de carne,3
67,Pastillas de caldo de pescado,3
68,Patatas,3
69,Patatas fritas,12
70,Paté normal,6
71,Pechuga de pollo entera,2
72,Pechuga de pollo lonchas finas,2
73,Pimentón,2
74,Pimientos de piquillo rellenos,5
75,Pimiento verde italiano,3
76,Pimientos de piquillo,1
77,Pizza,6
78,Puré de patatas,3
79,Quesitos,6
80,Queso 4 quesos,6
81,Queso parmesano,6
82,Queso tierno,6
83,Queso tranchetes,6
84,Quiché,6
85,Rabas,8
86,Rollitos de primavera,8
87,Rulo de cabra,6
88,Salchichas Frankfurt,6
89,Salchichas frescas,2
90,Salmón ahumado,6
91,Salmón fresco,13
92,Salsa agridulce,1
93,Salsa de yogurt,1
94,Sopa de cebolla,3
95,Sopa de pollo Gallina Blanca,3
96,Ternera blanca,2
97,Tomate,3
98,Tomate frito,1
99,Tomate frito artesano,1
100,Tomate triturado,1
101,Zanahoria,3
